vereador,faltas,faltas_abonadas,total_de_faltas,ano,nome_mes,mes
Alexandre Arraes,0,0,0,2017,fevereiro,2
Alexandre Isquierdo,0,0,0,2017,fevereiro,2
Carlo Caiado,0,0,0,2017,fevereiro,2
Carlos Bolsonaro,0,0,0,2017,fevereiro,2
Cesar Maia,1,1,0,2017,fevereiro,2
Chiquinho Brazão,3,0,3,2017,fevereiro,2
Cláudio Castro,1,0,1,2017,fevereiro,2
David Miranda,0,0,0,2017,fevereiro,2
Dr. Gilberto,1,0,1,2017,fevereiro,2
Dr. Jairinho,1,0,1,2017,fevereiro,2
Dr. João Ricardo,1,1,0,2017,fevereiro,2
Dr. Jorge Manaia,0,0,0,2017,fevereiro,2
Dr. Sergio Alves,0,0,0,2017,fevereiro,2
Eliseu Kessler,2,0,2,2017,fevereiro,2
Felipe Michel,0,0,0,2017,fevereiro,2
Fernando William,0,0,0,2017,fevereiro,2
Inaldo Silva,0,0,0,2017,fevereiro,2
Italo Ciba,0,0,0,2017,fevereiro,2
Jair da Mendes Gomes,0,0,0,2017,fevereiro,2
João Mendes de Jesus,0,0,0,2017,fevereiro,2
Jones Moura,0,0,0,2017,fevereiro,2
Jorge Felippe,2,1,1,2017,fevereiro,2
Junior da Lucinha,1,0,1,2017,fevereiro,2
Leandro Lyra,0,0,0,2017,fevereiro,2
Leonel Brizola,3,0,3,2017,fevereiro,2
Luciana Novaes,0,0,0,2017,fevereiro,2
Luiz Carlos Ramos Filho,0,0,0,2017,fevereiro,2
Marcelino D Almeida,0,0,0,2017,fevereiro,2
Marcello Siciliano,0,0,0,2017,fevereiro,2
Marcelo Arar,1,0,1,2017,fevereiro,2
Marielle Franco,0,0,0,2017,fevereiro,2
Otoni de Paula,0,0,0,2017,fevereiro,2
Paulo Messina,0,0,0,2017,fevereiro,2
Paulo Pinheiro,0,0,0,2017,fevereiro,2
Prof.Célio Lupparelli,0,0,0,2017,fevereiro,2
Professor Adalmir,0,0,0,2017,fevereiro,2
Rafael Aloisio Freitas,0,0,0,2017,fevereiro,2
Reimont,0,0,0,2017,fevereiro,2
Renato Cinco,0,0,0,2017,fevereiro,2
Renato Moura,0,0,0,2017,fevereiro,2
Rocal,1,0,1,2017,fevereiro,2
Rosa Fernandes,0,0,0,2017,fevereiro,2
Tânia Bastos,0,0,0,2017,fevereiro,2
Tarcísio Motta,0,0,0,2017,fevereiro,2
Thiago K. Ribeiro,1,1,0,2017,fevereiro,2
Val Ceasa,0,0,0,2017,fevereiro,2
Vera Lins,1,0,1,2017,fevereiro,2
Veronica Costa,0,0,0,2017,fevereiro,2
Willian Coelho,1,0,1,2017,fevereiro,2
Zico,0,0,0,2017,fevereiro,2
Zico Bacana,0,0,0,2017,fevereiro,2
Alexandre Arraes,2,1,1,2017,março,3
Alexandre Isquierdo,0,0,0,2017,março,3
Carlo Caiado,3,1,2,2017,março,3
Carlos Bolsonaro,2,0,2,2017,março,3
Cesar Maia,3,3,0,2017,março,3
Chiquinho Brazão,3,0,3,2017,março,3
Cláudio Castro,1,0,1,2017,março,3
David Miranda,0,0,0,2017,março,3
Dr. Gilberto,1,0,1,2017,março,3
Dr. Jairinho,1,0,1,2017,março,3
Dr. João Ricardo,0,0,0,2017,março,3
Dr. Jorge Manaia,1,1,0,2017,março,3
Dr. Sergio Alves,3,0,3,2017,março,3
Eliseu Kessler,1,0,1,2017,março,3
Felipe Michel,1,0,1,2017,março,3
Fernando William,0,0,0,2017,março,3
Inaldo Silva,2,2,0,2017,março,3
Italo Ciba,0,0,0,2017,março,3
Jair da Mendes Gomes,1,0,1,2017,março,3
João Mendes de Jesus,1,0,1,2017,março,3
Jones Moura,2,0,2,2017,março,3
Jorge Felippe,0,0,0,2017,março,3
Junior da Lucinha,0,0,0,2017,março,3
Leandro Lyra,0,0,0,2017,março,3
Leonel Brizola,3,0,3,2017,março,3
Luciana Novaes,4,1,3,2017,março,3
Luiz Carlos Ramos Filho,0,0,0,2017,março,3
Marcelino D Almeida,1,0,1,2017,março,3
Marcello Siciliano,1,1,0,2017,março,3
Marcelo Arar,1,0,1,2017,março,3
Marielle Franco,1,0,1,2017,março,3
Otoni de Paula,1,0,1,2017,março,3
Paulo Messina,0,0,0,2017,março,3
Paulo Pinheiro,2,0,2,2017,março,3
Prof.Célio Lupparelli,1,0,1,2017,março,3
Professor Adalmir,0,0,0,2017,março,3
Rafael Aloisio Freitas,0,0,0,2017,março,3
Reimont,1,1,0,2017,março,3
Renato Cinco,2,0,2,2017,março,3
Renato Moura,3,0,3,2017,março,3
Rocal,1,0,1,2017,março,3
Rosa Fernandes,1,0,1,2017,março,3
Tânia Bastos,1,0,1,2017,março,3
Tarcísio Motta,0,0,0,2017,março,3
Thiago K. Ribeiro,5,1,4,2017,março,3
Val Ceasa,0,0,0,2017,março,3
Vera Lins,1,1,0,2017,março,3
Veronica Costa,5,2,3,2017,março,3
Willian Coelho,1,0,1,2017,março,3
Zico,1,0,1,2017,março,3
Zico Bacana,1,0,1,2017,março,3
Alexandre Arraes,0,0,0,2017,abril,4
Alexandre Isquierdo,0,0,0,2017,abril,4
Carlo Caiado,0,0,0,2017,abril,4
Carlos Bolsonaro,1,0,1,2017,abril,4
Cesar Maia,5,4,1,2017,abril,4
Chiquinho Brazão,4,0,4,2017,abril,4
Cláudio Castro,0,0,0,2017,abril,4
David Miranda,1,0,1,2017,abril,4
Dr. Gilberto,1,1,0,2017,abril,4
Dr. Jairinho,0,0,0,2017,abril,4
Dr. João Ricardo,3,3,0,2017,abril,4
Dr. Jorge Manaia,1,1,0,2017,abril,4
Dr. Sergio Alves,0,0,0,2017,abril,4
Eliseu Kessler,3,3,0,2017,abril,4
Felipe Michel,0,0,0,2017,abril,4
Fernando William,0,0,0,2017,abril,4
Inaldo Silva,1,1,0,2017,abril,4
Italo Ciba,0,0,0,2017,abril,4
Jair da Mendes Gomes,0,0,0,2017,abril,4
João Mendes de Jesus,0,0,0,2017,abril,4
Jones Moura,0,0,0,2017,abril,4
Jorge Felippe,2,2,0,2017,abril,4
Junior da Lucinha,2,0,2,2017,abril,4
Leandro Lyra,0,0,0,2017,abril,4
Leonel Brizola,1,0,1,2017,abril,4
Luciana Novaes,1,1,0,2017,abril,4
Luiz Carlos Ramos Filho,0,0,0,2017,abril,4
Marcelino D Almeida,2,1,1,2017,abril,4
Marcello Siciliano,0,0,0,2017,abril,4
Marcelo Arar,1,0,1,2017,abril,4
Marielle Franco,0,0,0,2017,abril,4
Otoni de Paula,1,0,1,2017,abril,4
Paulo Messina,0,0,0,2017,abril,4
Paulo Pinheiro,1,0,1,2017,abril,4
Prof.Célio Lupparelli,1,0,1,2017,abril,4
